ID درس,اسم درس,شماره فصل,اسم فصل,عمومی/اختصاصی,چه پایه ای,چه رشته ای,زوج درسی
arabic,عربی دهم,5,درس 5,عمومی,دهم,E,
arabic,عربی دهم,6,درس 6,عمومی,دهم,E,
arabic,عربی دهم,7,درس 7,عمومی,دهم,E,
arabic,عربی دهم,8,درس 8,عمومی,دهم,E,
math,ریاضی دهم,1,معادله درجه دوم,اختصاصی,دهم,E,
math,ریاضی دهم,2,تابع,اختصاصی,دهم,E,
math,ریاضی دهم,3,کار با داده های آماری,اختصاصی,دهم,E,
math,ریاضی دهم,4,نمایش داده ها,اختصاصی,دهم,E,
history,تاریخ دهم,1,تاریخ و تاریخ نگاری,اختصاصی,دهم,E,
history,تاریخ دهم,2,تاریخ-زمان و مکان,اختصاصی,دهم,E,
history,تاریخ دهم,3,باستان شناسی- در جست و جوی میراث فرهنگی,اختصاصی,دهم,E,
history,تاریخ دهم,4,پیدایش تمدن-بین النهرین و مصر,اختصاصی,دهم,E,
history,تاریخ دهم,5,هند و چین,اختصاصی,دهم,E,
history,تاریخ دهم,6,یونان و روم,اختصاصی,دهم,E,
history,تاریخ دهم,7,مطالعه و کاوش در گذشته های دور,اختصاصی,دهم,E,
history,تاریخ دهم,8,سپیده دهم تمدن ایرانی,اختصاصی,دهم,E,
history,تاریخ دهم,9,ورورد آریایی تا پایان هخامنشیان,اختصاصی,دهم,E,
history,تاریخ دهم,10,اشکانیان و ساسانیان,اختصاصی,دهم,E,
history,تاریخ دهم,11,آیین کشورداری,اختصاصی,دهم,E,
history,تاریخ دهم,12,جامعه و خانواده,اختصاصی,دهم,E,
history,تاریخ دهم,13,اقتصاد و معیشت,اختصاصی,دهم,E,
history,تاریخ دهم,14,دین و اعتقادات,اختصاصی,دهم,E,
history,تاریخ دهم,15,زبان، علم و آموزش,اختصاصی,دهم,E,
history,تاریخ دهم,16,هنر و معماری,اختصاصی,دهم,E,
logic,منطق دهم,1,منطق، ترازوی اندیشه,اختصاصی,دهم,E,
logic,منطق دهم,2,لفظ و معنا,اختصاصی,دهم,E,
logic,منطق دهم,3,مفهوم و مصداق,اختصاصی,دهم,E,
logic,منطق دهم,4,اقسام و شرایط تعریف,اختصاصی,دهم,E,
logic,منطق دهم,5,اقسام استدلال استقرایی,اختصاصی,دهم,E,
logic,منطق دهم,6,قضیه حملی,اختصاصی,دهم,E,
logic,منطق دهم,7,احکام قضایا,اختصاصی,دهم,E,
logic,منطق دهم,8,قیاس اقترانی,اختصاصی,دهم,E,
logic,منطق دهم,9,قضیه شرطی و قیاس استثنایی,اختصاصی,دهم,E,
logic,منطق دهم,10,سنجشگری در تفکر,اختصاصی,دهم,E,
economy,اقتصاد دهم,1,کسب و کار و کارآفرینی,اختصاصی,دهم,E,
economy,اقتصاد دهم,2,انتخاب نوع کسب و کار,اختصاصی,دهم,E,
economy,اقتصاد دهم,3,اصول انتخاب درست,اختصاصی,دهم,E,
economy,اقتصاد دهم,4,مرز امکانات تولید,اختصاصی,دهم,E,
economy,اقتصاد دهم,5,بازار چیست و چگونه عمل میکند؟,اختصاصی,دهم,E,
economy,اقتصاد دهم,6,نقش دولت در اقتصاد چیست؟,اختصاصی,دهم,E,
economy,اقتصاد دهم,7,تجارت بین الملل,اختصاصی,دهم,E,
economy,اقتصاد دهم,8,رکود، بیکاری و فقر,اختصاصی,دهم,E,
economy,اقتصاد دهم,9,تورم و کاهش قدرت خرید,اختصاصی,دهم,E,
economy,اقتصاد دهم,10,مقاوم سازی اقتصاد,اختصاصی,دهم,E,
economy,اقتصاد دهم,11,رشد و پیشرفت اقتصادی,اختصاصی,دهم,E,
economy,اقتصاد دهم,12,بودجه بندی,اختصاصی,دهم,E,
economy,اقتصاد دهم,13,تصمیم گیری در مخارج,اختصاصی,دهم,E,
economy,اقتصاد دهم,14,پس انداز و سرمایه گذاری,اختصاصی,دهم,E,
sociology,جامعه شناسی دهم,1,کنش های ما,اختصاصی,دهم,E,
sociology,جامعه شناسی دهم,2,پدیده های اجتماعی,اختصاصی,دهم,E,
sociology,جامعه شناسی دهم,3,جهان اجتماعی,اختصاصی,دهم,E,
sociology,جامعه شناسی دهم,4,اجزا و لایه های جهان اجتماعی,اختصاصی,دهم,E,
sociology,جامعه شناسی دهم,5,جهان های اجتماعی,اختصاصی,دهم,E,
sociology,جامعه شناسی دهم,6,پیامدهای جهان اجتماعی,اختصاصی,دهم,E,
sociology,جامعه شناسی دهم,7,ارزیابی جهان های اجتماعی,اختصاصی,دهم,E,
sociology,جامعه شناسی دهم,8,هویت,اختصاصی,دهم,E,
sociology,جامعه شناسی دهم,9,بازتولید هویت اجتماعی,اختصاصی,دهم,E,
sociology,جامعه شناسی دهم,10,تغییرات هویت اجتماعی,اختصاصی,دهم,E,
sociology,جامعه شناسی دهم,11,تحولات هویتی جهان اجتماعی,اختصاصی,دهم,E,
sociology,جامعه شناسی دهم,12,تحولات هویتی جهان اجتماعی,اختصاصی,دهم,E,
sociology,جامعه شناسی دهم,13,هویت ایرانی 1,اختصاصی,دهم,E,
sociology,جامعه شناسی دهم,14,هویت ایرانی 2,اختصاصی,دهم,E,
sociology,جامعه شناسی دهم,15,هویت ایرانی 3,اختصاصی,دهم,E,
sociology,جامعه شناسی دهم,16,هویت ایرانی 4,اختصاصی,دهم,E,
oloom o fonoon,علوم و فنون دهم,0,ستایش: ای بی نشان,اختصاصی,دهم,E,
oloom o fonoon,علوم و فنون دهم,1,مبانی تحلیل متن,اختصاصی,دهم,E,
oloom o fonoon,علوم و فنون دهم,2,سازه ها و عوامل تاثیرگذار در شعر فارسی,اختصاصی,دهم,E,
oloom o fonoon,علوم و فنون دهم,3,واج آرایی، واژه آرایی,اختصاصی,دهم,E,
oloom o fonoon,علوم و فنون دهم,4,تاریخ ادبیات پیش از اسلام,اختصاصی,دهم,E,
oloom o fonoon,علوم و فنون دهم,5,هماهنگی پاره های کلام,اختصاصی,دهم,E,
oloom o fonoon,علوم و فنون دهم,6,سجع و انواع آن,اختصاصی,دهم,E,
oloom o fonoon,علوم و فنون دهم,7,سبک و سبک شناسی(سبک خراسانی),اختصاصی,دهم,E,
oloom o fonoon,علوم و فنون دهم,8,وزن شعر فارسی,اختصاصی,دهم,E,
oloom o fonoon,علوم و فنون دهم,9,موازنه و ترصیع,اختصاصی,دهم,E,
oloom o fonoon,علوم و فنون دهم,10,زبان و ادبیات فارسی در سده های پنجم و ششم,اختصاصی,دهم,E,
oloom o fonoon,علوم و فنون دهم,11,قافیه,اختصاصی,دهم,E,
oloom o fonoon,علوم و فنون دهم,12,جناس و انواع آن,اختصاصی,دهم,E,
oloom o fonoon,علوم و فنون دهم,13,نیایش: به امید تو,اختصاصی,دهم,E,
physics,فیزیک یازدهم,1,الکتریسیته ساکن,اختصاصی,یازدهم,R,یازدهم
physics,فیزیک یازدهم,2,جریان های الکتریکی و مدارهای جریان مستقیم,اختصاصی,یازدهم,R,یازدهم
physics,فیزیک یازدهم,3,مغناطیس,اختصاصی,یازدهم,R,یازدهم
physics,فیزیک یازدهم,4,القای الکترومغناطیسی و جریان متناوب,اختصاصی,یازدهم,R,یازدهم
chemistry,شیمی یازدهم,1,قدر هدایای زمینی را بدانیم,اختصاصی,یازدهم,"T,R",یازدهم
